Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
44000,99848,102225,13367,31817,36334,11419,15599,87934650,50640,52777,7879,73500353,41165,87357129,17409,77284788,38479,92772959,5891,91662372,21753480
44250,102489,134614,13211,32914,34736,13371,15610,93885747,53983,51620,7851,75909669,45994,87913121,18593,76038349,37937,93839400,5535,92619718,22950756
44500,103244,100593,13338,33271,35758,13198,17587,94366610,52023,51349,7861,75384386,42910,88029566,20076,84514783,35695,90806393,5617,89221338,21076472
44750,114622,102569,13847,33833,33375,12977,16461,93224683,50381,49670,7854,75562627,44439,88276898,19240,74830217,42428,91589692,5519,83091951,22376120
45000,101006,107165,13078,34605,32939,12401,16857,95696624,51196,54155,7882,76971731,40739,88435115,17678,79075257,49398,99413542,5453,84490526,21530632
45250,99495,104782,13279,32857,33727,13198,15160,96739038,53093,51339,7853,79630860,39947,88490884,18469,78852590,36071,89068022,5667,90383930,22302534
45500,103208,109468,13216,33897,34791,13090,16107,91400672,52699,50525,7830,77893338,40788,89389458,17962,82156117,49590,86895002,5426,84188557,22345447
45750,101256,107672,13288,32596,35174,13286,14912,93356427,53771,54933,7828,79248444,44686,91698441,18484,80936328,52223,95674374,5621,87408458,22064660
46000,110813,112384,13427,32514,34401,10919,15792,92590815,54275,55338,7871,82100245,42874,91565677,18778,77707469,66971,97247740,5792,95268511,22803671
46250,101894,190104,13460,32176,31690,11401,15429,92488289,52606,56062,7805,79589127,42928,91780222,18317,79730164,34892,96707448,5507,94035451,23222572
46500,102304,108303,13450,31120,30829,12345,14443,93608949,54825,58148,7867,78390070,42664,92024214,17493,81222013,59594,92869771,5555,94681733,22866026
46750,98996,110215,13568,32547,31822,12625,14963,93972281,53874,65087,7822,79726986,43865,91022882,18550,87441035,36265,90580025,5559,97815683,23087479
47000,120355,114790,13421,32578,31353,12694,16016,95518122,49957,61285,7803,79929184,41165,91907036,19089,84935784,34829,96024354,5728,98670176,20545329
47250,101513,115659,13537,32834,33977,11703,14798,97051705,51883,55998,7887,80085918,42701,92166547,20411,85290502,34187,97737174,5449,98908274,20935612
47500,101181,112730,13279,31925,32153,11940,16308,99353373,52347,161527,7798,80268583,41574,94042966,20610,85352219,33493,96926824,5731,100645498,20321100
47750,97654,121872,13491,30606,31020,12516,15655,95803094,51789,44577,7833,80290528,40016,90942584,20744,82410476,33578,97542130,5585,97054762,21267813
48000,117245,124731,13368,32341,34431,13148,14381,107653802,52690,45295,7831,80151803,41897,95311791,18317,86309714,34522,105343235,5687,90508462,22143670
48250,102145,190282,13705,32053,34916,14772,15530,99763890,52004,46914,7821,81601603,45677,92698098,18108,82681717,33652,107544051,5799,84714749,20636063
48500,101566,140878,13231,31734,87828,14210,15829,98800728,54477,45317,7801,81228755,43503,94847075,18317,85702178,33496,106639629,5485,89779686,22921292
48750,105137,144683,13305,31290,34438,14570,16113,98164890,51678,47033,7829,83269390,43630,96596931,15864,85887108,33881,109664131,5813,89543792,22906797
49000,139139,159494,13590,31914,33367,42801,14913,96692428,51082,48197,7876,87008322,39391,99648412,15351,86548931,32584,97666081,5696,97073223,21245296
49250,102284,175924,13301,30294,32250,14373,15640,102175530,52939,47987,7916,83540867,41527,93806124,16964,87636259,34000,104463372,5395,91645644,22975211
49500,102941,136787,13325,30996,32633,12420,16683,101048818,51131,43099,7829,88449379,40995,98719376,15900,85972048,33576,103553008,5663,90891539,24536396
49750,161737,147660,13343,33136,31936,12236,14438,100290528,52505,45755,7827,82779461,39861,95643734,16962,87043275,32841,99849324,5492,100507684,23507803
50000,128142,170185,13519,32553,32595,12691,16558,101233654,50427,45030,7804,84785220,39949,97143587,16735,81141070,33444,112348078,5831,100266984,22646957
50250,117103,169713,13800,29910,28680,14707,17676,101227287,51720,47986,7788,85305110,39676,100556778,17583,85884403,37023,110942865,5454,92272252,23864301
50500,114666,168836,13799,31056,34590,12636,18228,100663159,54364,47670,7802,85619905,39448,97781309,17218,84792628,89389,106528326,5644,100852412,22785800
50750,115795,159670,13862,31432,31300,12091,15652,104157304,52433,49769,7816,85331754,42483,102503673,16067,82215993,77926,112474476,6273,97366990,21926633
51000,118455,143562,13792,31755,32984,14618,16971,104503690,52482,45356,7789,85974588,40562,100430014,16712,82961893,36362,108974658,5737,96497765,26283576
51250,114287,308426,13900,31033,32855,14235,17443,101267556,54247,47439,7770,89201620,42283,102577690,17341,83901073,63626,116302402,5560,95022912,27409772
51500,120412,95487,14091,31328,33777,11990,15382,106996524,55501,46975,7786,86618255,40131,101557133,15744,81751908,36722,102364470,5716,99544974,23332896
51750,125095,93885,13754,31604,33173,13029,17141,103235847,89706,49639,7818,92099854,40866,101300326,17438,84647462,64410,103942246,5426,100093885,22595312
52000,140821,99380,13677,32702,32989,12874,17325,103928632,60054,62295,7807,88705474,44463,100979482,14590,88543392,35294,106671879,5636,95760139,24186856
52250,123129,98489,13998,32020,33102,12574,17373,107419778,59818,49282,7836,87429430,43055,103470695,16841,86501031,35590,103916043,5616,104872351,23974607
52500,121822,97344,14180,32366,31718,13349,16735,106104217,64171,48433,7793,90399162,42821,101894847,16380,86915697,34209,105782151,5689,104897825,25619639
52750,124503,94096,14106,31518,54416,12649,15643,109349158,59750,52344,7812,88345351,40615,102225428,16364,88594572,65188,109096407,5906,97105940,26230194
53000,120908,97477,13959,31562,31643,14067,14999,106742586,63491,46565,7815,92572419,41328,102757203,17934,85489031,35958,102023988,5789,98049128,25004940
53250,121722,98865,13823,28954,42960,12237,14291,107367138,61525,51351,7820,95247150,39536,105145333,17979,86394647,35425,105126182,5357,100782541,23414603
53500,121649,96308,13893,31335,62854,13409,14233,107563941,57761,52167,7794,92492281,42250,104508891,19271,88316839,35694,107189138,5569,99754212,23831531
53750,123996,111398,13871,31950,72422,13871,15165,111568959,62315,121939,7836,92511140,41672,102613645,16708,87450767,35411,107946555,5884,102176090,26505905
54000,117028,100691,14301,30701,34926,12825,15488,110855943,60949,91925,7799,93887741,41678,108887580,16680,86338645,33375,107937570,5990,102331566,24190947
54250,121395,97324,14760,32262,47128,13080,16264,114527586,61193,45352,7856,92338432,40195,106658333,18741,87837250,34957,120133743,6027,101371662,24797762
54500,117320,94926,13964,31324,35276,15254,14648,114307059,62869,45927,7830,97103787,41594,104453615,16331,90361598,35622,107512161,5415,100433833,25012335
54750,139544,97140,14187,29832,32567,11991,16259,112047551,61942,48780,7857,94535831,38551,105667556,17409,95874113,33289,117127396,5603,103649579,24745153
55000,120088,101501,14026,57928,54034,12756,16096,119652291,64429,48076,7815,95148548,41744,109284058,17776,88774315,33560,102723976,5631,101895088,24480200
55250,122893,100107,14178,31614,36181,13092,14789,111892241,66282,47247,7814,94874936,54179,109284655,16175,89280300,33872,103476596,5753,112030818,24836562
55500,122610,103877,14319,31632,34325,13569,16374,113069944,68263,46716,7822,97698094,42059,111468546,17720,92659558,34445,108568167,5610,107698309,27140602
55750,119756,98161,13969,30700,34000,14535,17657,117335325,63229,48829,7850,98375477,38892,107255490,16997,95697216,32424,120233993,5472,110193034,24764563
56000,119333,99650,13836,32453,31364,12894,17406,114394968,63873,44960,7824,100387903,40838,107648113,17194,94648552,32188,116495759,5702,103081122,27008282
56250,118621,100394,13943,29447,28949,12942,17959,117396315,66397,47771,7840,99362528,41433,110753566,16145,87927766,32440,107855777,5503,102928423,26049114
56500,119871,102407,13942,29768,30436,14326,18160,114405341,59383,46202,7816,98889464,64151,110485441,18346,92286873,32186,108056175,5758,116140423,24405890
56750,135859,106700,14120,29923,31522,13676,35782,117357066,66871,52400,7838,98203741,45740,112233203,14798,92892109,32990,117811591,5565,107377512,25932540
57000,125204,100083,14091,30508,33692,11761,16211,122801820,63584,51208,7797,100316155,41627,109228409,16656,91990495,32472,132046570,5328,115615371,25179180
57250,122461,103969,14362,31104,29918,13862,15694,120548730,66694,50093,7840,97872014,41434,110348311,16184,94853089,31717,118955740,5300,120835712,25448567
57500,119682,107366,13959,29106,31081,13559,15929,119681074,65467,46812,7930,101805087,40971,114520733,17061,95466378,31551,110425329,5386,118830438,30529878
57750,119543,105518,14085,29580,30636,14217,15303,121069920,65141,49349,7860,102398851,40077,112700582,17024,97659054,33328,108842808,5646,106660801,27055621
58000,119094,107952,14017,29998,42891,14547,15580,117469757,62064,50858,7839,103046946,43829,118032424,15868,95861213,32960,113587257,5939,109370114,28520412
58250,130256,106771,14127,31529,32249,13737,14137,120280173,67536,50410,7860,99130878,42508,116265944,15608,95862011,32511,111481633,5840,111594368,28396270
58500,138115,110871,13955,29416,33741,12915,16427,121734451,66905,46701,7859,103278342,41875,113359791,16096,98133156,33082,113501010,5606,118721474,29675176
58750,150213,108531,14169,40734,30270,14140,16746,119921118,65699,53744,7862,104422994,43288,114007215,15836,100240509,31275,112951749,5469,128449329,28400345
59000,126976,109752,14053,31959,34762,13767,15185,123062819,67196,50932,7860,102401895,42517,113937609,15611,97367726,32431,119394822,5559,124730716,25343996
59250,120453,112754,13872,33487,31442,13843,14794,124345612,68260,67079,7877,101991597,42641,115485320,16755,96074989,33613,136202965,5710,124231089,28371053
59500,117457,117649,13977,32334,31206,13408,14232,120289614,67938,52222,7838,102489855,43520,114343067,15370,95641709,33770,121504717,5569,114641797,26915578
59750,123315,157639,14121,30072,31299,13647,13831,123799938,134572,102817,7858,108279019,42179,118146952,16732,94506820,32002,114566543,5375,114643380,26370131
60000,122123,116508,13994,28351,31807,12027,15323,122376006,69167,44660,7897,105165924,42085,123332796,17632,101202885,30814,115902478,5418,122815407,26197470
60250,126961,113793,13988,30100,32584,14548,15129,123539697,69259,66577,7811,104456402,43117,117412472,16479,104451911,32095,127010940,5616,119252799,28207862
60500,138580,114503,13974,29858,31025,14446,15204,124383418,68557,49729,7861,105498980,45410,121544695,15206,99117189,32393,136820848,5799,119979931,28044305
60750,122524,112662,14237,29931,30883,13682,16109,124916152,67167,48270,7856,104906749,40890,123371379,15024,98221818,31194,123223047,7985,110070651,28160512
61000,120819,111815,13859,28508,29581,12871,14076,128309494,64494,47771,7846,105283751,41717,119376305,16254,104310494,30427,124996882,5790,119928257,27865503
61250,121607,112478,13917,29682,32581,14074,15033,130399994,70342,48504,7872,108894319,43380,115278378,15765,106079911,31133,127215839,5677,122698565,28407490
61500,118978,113363,13953,30392,34184,14308,15254,126750570,69967,47250,7883,107963914,43982,120281525,15715,103825456,32940,130190258,5472,126685585,32358693
61750,119112,115101,13917,30308,31286,13438,15767,126645369,64423,46297,7842,110291940,43135,119754683,15425,103105268,32797,127306992,5543,125374248,27935799
62000,119709,118728,13844,30248,31712,15801,15304,128106751,66695,49966,7842,108687830,42338,115918371,14561,100096571,31737,121586686,5715,117958674,28936540
62250,129340,121333,13971,30972,30681,14158,15055,132434692,69970,52810,7832,110658767,41882,122837373,16623,99711961,31086,123873799,5470,119312255,28477352
62500,122301,119730,13861,28117,30778,12912,16865,130425505,68005,59458,7836,113293226,39210,122298613,15260,101145325,28262,123474077,5579,116161101,30349720
62750,119428,118479,13837,29586,30809,13221,15228,133799135,68622,52988,7828,109370477,41135,120156010,15973,107158591,32547,124853709,5404,122052641,28214161
63000,119111,124267,14041,28954,28429,12123,16826,134963212,66099,58341,7884,107787063,41325,121123922,15779,107602428,33010,147287363,5443,127644621,28334775
63250,115167,120388,14095,28893,30698,14195,15234,133922907,68257,54174,7843,113040448,39158,119071342,14849,103032828,32335,131539711,5677,132996590,28338185
63500,119570,124032,13947,30165,32704,14316,15287,131761248,71963,58815,7838,112323148,43004,118001798,15397,109186300,33637,137485498,5591,130013498,30302726
63750,119779,124460,14446,28222,31017,14431,14868,133855726,72104,110994,7851,114731008,42892,119501179,15773,105001983,42243,131724059,29087,126648678,28210127
64000,118923,124274,14001,29674,30112,14501,16349,132542765,69172,52071,7828,112550476,46766,124882307,15386,102603636,37677,138121615,5586,121262724,29168138
64250,131084,125722,13952,29646,29004,13506,17466,136144259,201183,57352,7896,111777464,43724,122097271,14866,106206436,38615,145624425,5505,123773833,29827941
64500,124804,129476,13811,28948,29986,13759,16035,133227305,79057,52941,7834,114419146,40204,121813343,15739,107481268,37167,127644677,5493,129991188,30453830
64750,118479,131156,13864,28246,27853,14243,15110,137115127,75476,55130,7861,115199027,38718,126045876,16535,105953296,37739,138954094,5656,128617902,28999593
65000,121856,132724,13947,27748,29410,13474,15362,142353893,74419,53493,7872,111161110,43073,125942736,14369,105885474,36439,138753214,5865,130772424,31648111
65250,115165,128845,14101,27621,28178,12973,13735,134825344,76469,56597,7841,114528708,40053,122723496,16092,105766089,36596,138033604,5385,122244909,29338270
65500,118207,138102,14015,29770,31118,15041,15036,136672978,82895,57972,8032,115970911,42846,124245829,15326,109727530,36954,133544031,5632,138901734,31383150
65750,117416,129737,13993,28794,31520,15940,15180,138074024,78853,58347,7868,119148706,43595,128000156,14914,106861283,1882162,134846632,5554,131484067,31821066
66000,128601,136988,14046,29104,30405,12939,13156,141355279,83685,60259,7832,118778974,42422,129121010,12517,113472723,37834,134534944,5383,126478495,32286802
66250,117061,166479,13991,27104,30904,12951,13971,136427458,81272,56036,7854,118557778,42109,131333869,16161,109566762,37093,128444558,5397,121594945,32435796
66500,117127,147939,13755,27223,27978,14026,13571,138172069,252947,58590,7836,118048444,39880,127648393,14808,108596628,36901,135665616,5490,127741220,28657986
66750,116758,142606,13954,27974,28065,16406,15225,139335247,134147,58076,7846,118409754,42032,129821185,14461,107769203,36417,134041991,5547,144462187,32430558
67000,131129,143050,13885,29254,31466,13808,15197,144673102,91349,59919,7860,120325491,43783,135095924,16920,110367345,38403,141006696,5534,134680649,31812298
67250,117776,135781,13842,28153,32677,15131,16087,143148204,89966,113393,7865,117857449,44117,127188635,14927,108173899,36502,131357136,5427,132055286,29917932
67500,113519,143794,13994,26838,29077,14471,15496,138913237,87795,55862,7881,117552013,38907,128390224,15275,119358207,34605,128404858,5405,130583155,32877113
67750,146588,143126,14118,26768,31016,13156,15394,138322034,86474,58627,8052,119752039,42816,129164518,17105,119508991,35013,134346521,5511,130201787,33468955
68000,122213,142003,13710,27273,30141,15544,16022,146869502,86598,59105,7843,122219409,39890,134578893,15909,116421247,34949,143855889,5507,128507732,33248359
68250,114716,144791,13808,26227,29512,13539,16362,142289573,89367,58483,7812,125559324,39697,130300891,16556,120673631,34528,135192715,5571,134238161,31335135
68500,115726,142716,13935,27426,31257,13647,14703,152135082,88702,57086,7848,119509760,43085,132647873,15178,114947069,45291,136795726,5620,134680691,30414200
68750,114751,147145,14303,27128,30641,15160,13731,139448090,84224,60168,8039,123960127,41872,155696856,16943,116063751,36700,143731534,5661,128441111,31000310
69000,127877,146167,13948,26407,27754,12710,14677,139490903,91982,61556,7889,124573439,42180,132069149,15956,115444053,32491,142608778,5701,136596817,30362686
69250,118575,141267,13765,27509,29701,12789,14559,141600110,89848,63067,7823,124589739,59729,132482144,16965,114075115,34279,144414439,5827,137699281,33491626
69500,114385,147276,13802,26743,27972,13513,15284,150699793,327131,109918,7879,122396336,53929,132433622,15995,114454959,34376,136179412,5530,141276375,30320621
69750,115190,151105,14609,27265,29367,14699,14535,145574479,97484,61938,7860,126548387,55516,136598612,15875,122764199,35052,134886193,5558,138387965,32847260
70000,117183,150548,13831,26967,27924,15453,14565,144657051,89859,57501,7854,125433572,57996,134992371,15293,121411820,34781,136361175,5590,131600585,34770167
70250,128564,151188,14054,26217,28188,15035,13150,147571387,105831,77643,7867,130130976,72154,133723920,14358,120522865,35906,163872723,5453,135701747,34559675
70500,117572,150197,13940,26100,28470,14826,13961,149176252,91491,114372,8056,125826272,69157,136884477,15540,120959776,37489,148937072,5525,145804567,31226696
70750,110528,144720,13937,26574,26144,12307,14262,151602786,114205,60183,7983,151660083,55192,132869525,17015,120360329,35491,165441623,5398,143137236,30668780
71000,173909,154005,14173,26811,27949,13358,15078,149630336,91049,61911,7905,135390259,52487,135174714,16115,122662808,34485,177194787,5498,135614591,34331759
71250,122705,141859,14163,27582,29471,13667,14292,153313885,90781,64248,7838,130293793,48555,134203871,18645,122509381,36292,168223059,5381,140566460,30997091
71500,120110,148342,14451,26815,28603,12658,16509,148433743,92535,61589,7842,130887936,49805,137567000,14887,116756236,35309,145149866,5483,144328770,32475936
71750,117834,155630,15003,26380,27785,14633,14039,155030436,93585,65365,7823,129409455,49913,141614213,16194,123537727,34160,148923801,5636,142046506,36220274
72000,113900,155162,14142,25912,28761,13444,15773,152273500,94435,62435,7816,127121382,47740,134716338,15975,119990569,34179,147545130,5354,140005071,31859002
72250,110406,150089,14207,25638,30012,13091,15928,149378141,98542,63583,7898,128392877,49246,141254856,15219,125820798,33613,158964146,5623,150835348,32983425
72500,114281,152040,14458,27325,32461,13924,15828,153820260,94577,64493,7835,130474430,47868,139402699,17070,126115045,35024,158050738,5580,150971000,35759723
72750,118494,152192,13986,26867,31416,11376,14669,153634560,96250,62982,7948,132179196,47796,136805973,17079,120706734,35643,153267391,5323,144112811,32748423
73000,111327,156621,14597,24683,29854,14038,15514,154300136,92496,69578,87253,128923032,47250,143607428,17090,120927799,31751,149224005,5436,148051282,33834434
73250,112804,155339,14822,26858,32068,13369,16972,157840262,106333,65326,7843,132052189,49038,141068748,19029,122098403,35444,148481543,5476,138371818,34268871
73500,112096,158661,14509,24422,30447,13851,14805,161849136,95247,121314,7833,130594971,46850,143950494,18833,122576503,34952,154761406,5406,147552792,35983494
73750,115166,160091,14449,24226,32504,12374,14513,157388702,92493,63689,7840,139578181,47540,141550977,18290,126732701,34779,154231613,5586,141149693,34941360
74000,116729,162752,14508,25648,31205,12600,14467,159781065,101449,66125,7834,151116396,47829,143350740,16053,124430029,34388,159854358,5571,139279423,38080940
74250,114809,162585,14468,25348,31829,14013,12985,160072698,96154,65816,7838,141049332,46193,144028395,16402,131206806,33427,148125204,5623,143283675,33992847
74500,120502,160378,14372,24968,30350,14942,14783,161051582,99280,66608,8079,135688051,48853,142045694,17830,125762265,33470,161581098,5499,155928135,37597841
74750,119060,170146,14593,23644,31248,12847,14020,159622536,97785,72437,8004,142050331,48126,144077834,17826,127648808,33449,156674689,5684,150502608,35001288
75000,115246,168080,14634,25155,31835,12868,15286,161754957,96168,66037,7850,134841642,47911,143918435,17564,125528676,33638,149004301,5469,142523080,34052451
75250,113298,170570,14586,25010,31431,13382,14713,159957404,97826,69419,7868,138241971,46795,147416582,20818,134768823,34177,153096886,5532,154873858,32545938
75500,115479,169020,14572,25581,30214,12205,15728,157704438,95333,67637,7873,139615538,48192,143492626,20903,130303965,32507,161315700,5428,151432343,33202445
75750,114381,174919,14933,25576,28562,13462,15630,168425147,87952,67797,7828,139422066,44140,151545171,21857,154548461,33054,159757009,5445,157408036,33264064
76000,118128,212158,14958,27104,32297,14445,14991,168248494,95577,68784,7859,136477453,46024,154235177,17732,133349502,33623,155051407,5384,150033738,35371524
76250,118580,183482,15229,26486,29924,14069,16848,166007144,94942,72019,7852,145186732,46745,148517081,17604,133245615,33743,158345419,5384,165006891,35428646
76500,115576,247928,15363,26703,31185,14527,13911,168197097,91955,130498,8093,138521864,49689,153415710,18882,132559020,34014,150272823,5565,158352744,35813357
76750,116638,176930,14944,26085,30313,13969,14539,167886749,94456,92021,7833,144556696,47711,149221827,19443,131247694,34477,156814010,5640,150547205,36185817
77000,114886,181323,14975,26550,31888,13275,14337,164347601,95509,89297,7959,143190959,47573,155132722,31008,135243380,34375,174578850,5402,154298166,33543563
77250,113413,315553,15135,26373,31321,14219,14429,168595144,93716,66583,7848,138961464,52591,156390967,17673,133579179,32715,190086076,5450,157623657,37349906
77500,113348,172410,14983,25449,29589,13043,14804,168469530,94351,70037,7823,145090383,50184,155713453,18441,132237405,32585,166589770,5508,164259146,35940761
77750,112016,182338,15044,26612,32447,13458,13470,168237074,108245,70808,7835,151661939,52795,150835693,17807,137339696,33488,156676048,5477,153446828,38077414
78000,114634,389072,15049,25720,31031,14233,14402,169351358,110126,75651,7821,141956252,49329,150105431,18349,132962571,33447,152913478,5426,167769518,34860413
78250,115249,184876,15032,23953,30543,15266,13901,179391770,95800,106580,7819,145058208,50353,153424533,16570,138014233,33571,173460815,5424,164074380,39899045
78500,116506,160686,14977,24322,29530,14521,13061,169744621,92685,94252,7983,140346302,46660,161373599,17299,133534813,32421,166716365,5384,156382442,38718030
78750,112524,155400,15947,24667,30769,13951,13809,174345438,89332,67602,7873,149928371,47459,153947904,17507,157036035,33071,166852908,5644,154983342,38304563
79000,113346,171389,15113,24717,32029,14210,14604,179050206,91219,104565,7833,143027380,47971,152059629,17342,141682648,325735,170416356,5526,170466115,36742981
79250,113433,391490,15017,24503,29350,13057,15326,172394217,103535,93926,8221,151128880,45726,155581419,17107,138056006,31985,167228127,5368,166315531,35617777
79500,112453,144380,15079,24003,29188,16292,12843,181675451,97447,94383,7867,147091813,46204,156766713,17186,147643118,32449,153825633,5528,163338244,40331135
79750,114371,143187,15360,24070,32478,14094,15470,173712867,94757,53654,7901,145962222,47039,157912760,17130,148955582,32571,161933153,5416,167212870,38528428
80000,111933,149129,14968,25414,29520,13716,14141,180974796,87727,54200,7958,148724371,44600,154380153,17359,159917539,33281,183292404,5375,153050227,39951481
80250,114653,242332,15133,25998,30371,14690,15597,178676887,98944,63403,7882,150146172,48415,158186834,16822,148602749,33088,185886382,5444,153795031,40612936
80500,110753,145281,14967,23840,29963,13542,13589,178070049,87946,50208,7833,149784218,45175,162274181,16856,136026302,32091,186032425,5410,166726098,38078955
80750,110503,143566,15065,26467,29245,13576,15905,177659231,88436,51231,8053,154891490,47461,160644072,19116,141942902,32891,173854881,5413,159720619,39684989
81000,113180,147329,14898,25336,27531,13598,14908,187047021,95174,54370,7917,156199063,49559,156374105,18836,147742030,32428,165243353,5450,167764672,40307056
81250,111469,146118,14922,25246,30126,15433,14383,176387086,90916,50899,7814,154837178,46361,158903622,17599,150343826,33491,168055035,5738,164494694,40587950
81500,111851,146308,14989,26172,28203,13737,14069,178963012,104386,54059,7834,155618594,45749,159168799,16869,147843137,31712,188861140,5457,157959758,37126365
81750,296894,145382,14961,27717,28411,16266,13648,186674502,97285,53496,7819,151608244,48652,165844327,19926,146648333,33061,168523281,5420,164159970,35397840
82000,151938,144216,15012,25733,26087,14745,14914,190750007,94143,50119,7831,149488723,46115,159934353,19750,141671929,33812,166177136,5367,178656422,39372236
82250,145069,142803,15094,25548,27109,15533,15039,195056870,90310,53076,7868,150850465,69995,161235822,20323,147162137,31483,169407767,5499,163734485,38714360
82500,154945,151937,15005,24261,29787,16443,14464,190919892,91078,53361,7805,156403744,72017,160235626,19332,148236468,31917,173552147,5446,170518208,36121709
82750,148326,148119,14931,26209,28887,15543,14590,197257148,91951,59485,7815,157334504,56610,163424255,19379,142586481,30512,178280251,5452,167486905,40059421
83000,158586,143151,14871,26026,30167,14333,15783,193997408,93117,48902,7835,157013960,50815,162137111,19323,150101411,30202,173656689,5337,179146987,39300052
83250,146304,143833,15006,25823,29134,15690,16238,192339678,93506,49098,8067,158715022,67049,164827593,19357,151800247,31337,178941436,5427,175166605,41006795
83500,146614,141771,14859,24802,29200,16375,15895,211444525,98177,51958,7879,157028702,51460,166137544,21038,164050869,31418,178123482,5329,168346938,41237143
83750,147246,142853,15112,25108,28248,15314,15491,183545230,91409,54341,7842,168146521,50378,160751675,18590,146328120,30475,171879128,5486,169492894,39711784
84000,143305,148027,15096,24708,28271,12276,16474,178484950,101775,52109,7802,168144954,52110,167422358,19508,148554627,30959,173024020,5387,168061117,41427119
84250,146811,151209,15282,23479,29644,13369,13851,183140630,90604,52516,7856,164819911,47761,162326867,18748,148367174,31570,179581618,5435,163926391,36685101
84500,153744,152577,16289,24024,27116,14921,14218,197246202,88468,51927,7847,164313627,50468,169816177,19092,150551371,31296,176028734,5674,172633599,37703662
84750,233267,151069,16622,24905,27137,13822,14522,186439393,91756,50214,7815,165026829,49545,172337672,18386,153800872,30604,171296875,5449,163537584,38396334
85000,156020,145666,16450,24505,28710,11624,14631,190894135,89796,54921,7840,159643521,46634,168744498,20815,148773234,30001,176734539,5527,167999866,38628518
85250,153605,143008,16377,25007,57160,14265,13990,185526119,6098290,52243,8116,161707373,51698,163979041,19565,157395842,30507,175110813,5484,185506867,38040029
85500,146393,141732,16256,23751,32954,12421,14806,190285629,62768,54976,7590,167037188,44713,172316298,19199,152385051,29486,180026549,5515,183768157,37809646
85750,148899,143845,17102,23993,33205,15058,17343,190848475,59925,52093,7574,160418942,48145,166545223,20016,153285578,30871,202108798,5351,176791392,40239224
86000,186674,151197,16300,25805,30398,14681,14605,192011403,61826,52594,7370,164036591,70933,166825732,18957,155082894,30152,177900975,5495,165999873,39168658
86250,148028,150451,16555,23407,30350,13729,17161,203202230,61717,49233,6159,168412802,53645,177064721,19085,166357998,30421,177861242,5402,172494802,40703617
86500,146313,158844,16572,23141,31552,14098,14441,185783420,60083,49444,6212,162889135,52746,175707771,19978,160504346,31372,179265707,5487,186914156,40802345
86750,144720,149572,16508,23795,32592,12518,15837,199349293,60710,51538,6164,171952320,54163,173559324,20761,158771648,30533,172601583,5457,182902546,43185215
87000,176204,162639,16652,23059,32517,13776,15812,204424755,58366,51193,6231,166355041,50537,175665150,20505,165390272,30152,182780679,5536,179625104,41213619
87250,146837,152934,16502,24742,30189,15473,15598,195328538,59486,49724,6147,173816385,52814,171173952,21353,162002766,31556,189993708,5562,183319891,41320117
87500,144056,149363,16536,24140,33186,15078,16878,198124648,58771,50480,6176,164069943,53092,172930744,20010,156545612,31866,184007313,5605,169135169,41107363
87750,144892,151791,16487,24046,30765,15676,15938,190245880,60887,50597,6223,170001459,51541,173038152,21148,163793677,29962,183958562,5508,179410615,45049491
88000,152439,154505,16262,22500,34366,12542,15736,204701081,58823,50602,6202,172868308,52125,175454173,20876,165852991,31145,185801779,5286,168975391,42504410
88250,141391,151381,16438,23078,32150,14535,15170,201061333,58311,48126,6163,169468995,50247,176653098,21127,163770421,29315,180565556,5463,195895211,42216393
88500,160030,153416,16386,24040,31064,15028,16049,195958250,59562,53937,6200,171146766,52362,180816506,20524,163303157,29226,180820135,5796,181629512,38232914
88750,145342,157845,16650,22839,31797,14823,15151,202386547,62598,61629,6178,178331502,49522,180932037,21348,166188731,31004,181733419,5557,176219816,40574400
89000,141661,152726,16790,24185,31195,14359,15857,200220198,60853,49729,6241,175102520,46668,173799701,20294,163683490,30045,182619012,5681,180448217,39370214
89250,152162,158088,16663,24741,34136,14028,14334,218046348,61081,52563,6160,180355550,49257,185445897,20509,164636843,30413,171157518,5612,189526236,40543144
89500,141860,157487,16488,25430,32276,13398,14926,218158024,59882,55645,6174,174842047,49121,181192227,20146,178434555,31290,185511210,5376,195809859,41144533
89750,145388,162730,16633,24452,31585,15426,15213,207928980,57306,53523,6207,183196898,103450,184951582,21167,166158247,29505,187248802,5612,186521569,43146963
90000,141827,182969,16836,49922,33231,13314,16005,206557451,62092,51317,6181,186319330,47809,182372539,23996,169693988,28842,184429165,5476,182171905,40908766
90250,149510,167516,16616,25905,34283,14621,16484,203445429,57544,54002,6194,178259347,51921,177243002,23349,168767604,28992,184525647,5870,185161724,41765970
90500,161958,164525,16431,32021,35442,12579,16420,213274559,60203,52831,6198,181081580,47612,183507900,23159,180330167,28932,174513554,5666,185915596,40112736
90750,147948,172175,16939,34868,34173,13580,15964,215409241,64525,49238,6187,173079052,223511,177041567,21507,176600767,27510,185507238,5451,184892224,39920739
